customer_id,customer_name,branch_code,branch_name,customer_pan_card_no,customer_adhar_card_no,date_of_birth,address,name_of_city,state_name,state_code,country,zip_code,mobile_no,kyc_status,risk_id,income_slab,kyc_number,crn_unique_id,account_type,nationality,sip_status,has_demat_account,demat_account_no,networth,sip_amount,age
10,Faiyaz Konda,110,Ajmer,7688610632,856105932513,1977-10-05,"72/305, Borah Zila",10,RAJASTHAN,8,India,400010,913617968319,Rejected,2,High,582616,2a33adbe-b89d-435b-a408-659fae2cee2d,Current,Indian,Yes,Yes,1000196802.0,6915033.26,79119.23,65
11,Dishani Bhalla,111,Akbarpur,8099501336,787667962098,1961-08-12,"221, Hegde Circle",11,UTTAR PRADESH,9,India,400011,5660602935,Pending,2,High,409791,40264ea4-39a2-4028-99a2-cbafb54fe788,Current,Indian,No,No,,593761.35,0.0,68
12,Armaan Roy,112,Akola,3883328912,229598443158,1961-08-29,"53/47, Dey Nagar",12,MAHARASHTRA,27,India,400012,2956541613,Rejected,2,Medium,738282,b52e42e6-df55-4211-81ea-2eb14ffbdef5,Current,Indian,No,Yes,1795871197.0,2678466.77,0.0,27
13,Lagan Chandran,113,Alandur,9793574988,863854033412,1959-05-25,"70/114
Keer Marg",13,TAMIL NADU,33,India,400013,3104445241,Verified,3,High,824467,38e0516a-14bd-49ca-ac86-4a7c7bf42f5e,Savings,Indian,Yes,No,,5947938.35,31531.34,39
14,Navya Kamdar,114,Alappuzha,5892201140,314408290846,1963-06-20,"25/676, Ahluwalia Ganj",14,KERALA,32,India,400014,7238392696,Pending,1,Low,383364,bd4b92ca-6026-4eb6-9bf8-43853e6523f4,Savings,Indian,Yes,Yes,6396950486.0,107875.46,3245.97,24
15,Ranbir Batra,115,Aligarh,5240835126,210054567834,1996-06-28,"98/060, Devi Street",15,UTTAR PRADESH,9,India,400015,916251557092,Verified,4,High,149415,f881a2a8-ac2e-4be6-92c2-b597a5d3046c,Savings,Indian,No,Yes,2995196705.0,1405670.77,0.0,63
16,Bhamini Varkey,116,Allahabad,2188323902,406377405724,1973-06-05,"58/50, Batra",16,UTTAR PRADESH,9,India,400016,9778725976,Rejected,1,Medium,737801,54c57ccf-20bf-49a2-90cb-e02543b68e07,Savings,Indian,Yes,Yes,2029373299.0,7711517.12,37078.49,38
17,Ela Dhawan,117,Alwar,2602568665,778499548735,1980-10-05,"91/075
Hayre Chowk",17,RAJASTHAN,8,India,400017,917377237626,Pending,1,High,168406,019156b0-2199-42dd-a485-c0740d3b4db5,Current,Indian,Yes,Yes,6682108043.0,3830321.94,57469.63,58
18,Samaira Agarwal,118,Ambala,9690885131,745521339307,1992-06-09,"043
Kari Street",18,HARYANA,6,India,400018,1449126487,Rejected,2,Medium,858510,f659064c-1e71-48cb-b25e-d8ebd3aaf652,Current,Indian,Yes,No,,2263773.12,83216.5,63
19,Samaira Hari,119,Ambala Sadar,3552558307,456044568405,1961-10-03,"76/25, Sarin Street",19,HARYANA,6,India,400019,3532816364,Pending,3,High,850331,17b481f4-cdfa-4769-bf71-e8130418f2c9,Current,Indian,Yes,No,,3708674.55,60697.34,73
20,Arnav Chacko,120,Ambarnath,2756862677,393629798691,1991-08-04,"85/91, Mani Chowk",20,MAHARASHTRA,27,India,400020,912531538560,Pending,3,Low,138258,31291601-8df0-42cc-a788-d8890db15647,Savings,Indian,No,Yes,3217545696.0,9260434.88,0.0,46
21,Amani Chanda,121,Ambattur,4267563135,418337516468,1980-02-19,"H.No. 656
Devi Chowk",21,TAMIL NADU,33,India,400021,4003031384,Rejected,2,High,628407,ae2fd96c-ed67-4581-8a2c-9368e4eedd4f,Current,Indian,No,No,,2258586.31,0.0,33
22,Navya Badal,122,Ambikapur,7529389420,255525599471,1988-03-31,"H.No. 919, Batta Marg",22,CHHATTISGARH,22,India,400022,2544556056,Pending,1,High,414495,5fa49456-ab77-4cc9-bedb-92acf8cf3eab,Current,Indian,Yes,No,,225227.51,4962.56,22
23,Purab Chandra,123,Ambur,6023789264,669751257232,1981-09-21,"61/83
Comar Path",23,TAMIL NADU,33,India,400023,910015833599,Verified,2,High,104137,e3a45dd9-3a46-4fb5-b649-ce7be31d1f94,Current,Indian,No,Yes,1569991071.0,5198385.16,0.0,46
24,Nirvi Saini,124,Amravati,3350664181,427206391729,1998-06-13,"H.No. 09
Gala Path",24,MAHARASHTRA,27,India,400024,5480905231,Verified,3,Medium,816256,b1828165-8eb7-4b23-85c7-d5115f06ae15,Savings,Indian,Yes,Yes,1609092762.0,5205836.33,29534.86,48
25,Amani Kara,125,Amreli,1038130563,961851315392,1992-05-08,"58
Mangal Street",25,GUJARAT,24,India,400025,910770087234,Verified,3,Low,953259,e4670a66-40ac-4524-8510-3250f23965a4,Savings,Indian,No,No,,8687857.91,0.0,47
26,Pihu Baria,126,Amritsar,9748657524,830576956285,1977-08-31,"86/76
Khalsa Chowk",26,PUNJAB,3,India,400026,5998366568,Rejected,3,Medium,782019,208cef46-29b4-4f50-b885-b5d688bd98a1,Savings,Indian,Yes,No,,231769.17,18304.16,24
27,Anika Korpal,127,Amroha,7791885573,281812087624,1979-02-02,"92/57
Kamdar Chowk",27,UTTAR PRADESH,9,India,400027,3616078045,Verified,2,High,425348,c019a1ca-462d-4895-a64f-f4ebbf136d56,Savings,Indian,No,No,,4394798.48,0.0,65
28,Sahil Sangha,128,Anand,3710186513,886284430748,1979-09-04,"77/29, Divan Chowk",28,GUJARAT,24,India,400028,9784429050,Rejected,1,Low,141478,8a392ab2-b52f-4345-b1d3-eff5ff5d218c,Savings,Indian,Yes,Yes,2568762246.0,2647876.21,11227.84,29
29,Piya Dhawan,129,Anantapur,8562762718,809740554207,1964-03-13,"683, Garg Ganj",29,ANDHRA PRADESH,28,India,400029,914087774379,Rejected,1,High,415316,d40158fb-16df-4987-bb7e-1a1b30bfe18b,Current,Indian,Yes,No,,105906.31,26626.96,18
30,Sumer Bhatia,130,Anantnag,5272139770,442008489599,1978-10-10,"640
Ben Street",30,JAMMU & KASHMIR,1,India,400030,2298534132,Verified,4,Medium,357491,b7d9d807-d572-4f92-9156-9962ac872522,Current,Indian,Yes,No,,533095.73,61408.19,65
31,Kabir Toor,131,Arrah,4982605103,391331410757,1997-01-13,"H.No. 171, Chaudry Street",31,BIHAR,10,India,400031,2286484942,Rejected,2,Low,807272,f9405a10-113d-4b54-8557-6fb04cfb14a9,Current,Indian,Yes,No,,5813510.46,23012.68,48
32,Emir Sibal,132,Asansol,7335054107,249112623387,1984-12-23,"41/387, Toor Path",32,WEST BENGAL,19,India,400032,8540305408,Pending,4,Medium,470601,9eec1ed1-81ae-4746-9cb0-1b6031d71e23,Savings,Indian,No,Yes,5481371025.0,6144672.02,0.0,59
33,Mahika Gokhale,133,Ashoknagar Kalyangarh,9310901043,707081335476,1976-05-25,"40/09, Comar Ganj",33,WEST BENGAL,19,India,400033,918236450835,Verified,2,Low,447896,62578c41-3543-46b1-b853-006d8fd270ff,Savings,Indian,No,No,,1172455.39,0.0,33
34,Vidur Dalal,134,Aurangabad,1728682138,164145176129,1979-09-07,"59, Lala",34,BIHAR,10,India,400034,911695610766,Verified,1,Low,601021,9cb605f9-4a1e-4521-bfcf-0cede9335e54,Savings,Indian,Yes,Yes,6977584939.0,1386757.29,58570.57,51
35,Saira Sandal,134,Aurangabad,8178051745,637616095827,1994-03-29,"42/78, Kaur",34,MAHARASHTRA,27,India,400035,918486749686,Verified,1,Low,970896,e663abc0-3c06-4e32-9534-efe002e01fe5,Current,Indian,Yes,No,,9378324.38,14397.97,38
36,Sahil Talwar,135,Avadi,4745199012,410306905155,1960-12-05,"71
Garg Marg",35,TAMIL NADU,33,India,400036,3684156001,Rejected,3,High,127694,a43ccdec-764b-4a87-a7ab-7920398e1a47,Savings,Indian,Yes,No,,1193399.72,41996.62,32
37,Pranay Kala,136,Azamgarh,5482870645,597437341814,1966-08-14,"H.No. 70
Khalsa",36,UTTAR PRADESH,9,India,400037,911378863407,Rejected,1,Low,123943,fcbe6fa3-1c3f-4772-8617-3fa1b9159928,Current,Indian,Yes,No,,6815257.8,84637.96,59
38,Seher Zacharia,137,Badlapur,5061447830,652940008689,1995-08-23,"H.No. 936
Uppal Street",37,MAHARASHTRA,27,India,400038,5159586262,Pending,3,Low,592841,8734683c-badf-4cee-98ad-911daed6612f,Current,Indian,Yes,No,,5520711.02,77864.2,60
39,Anvi Sachdeva,138,Bagaha,6245514341,965205443482,1987-12-15,"42/882, Behl Marg",38,BIHAR,10,India,400039,846276004,Verified,4,Low,871764,3d3cdab7-e604-4517-8159-461f0a77b9b3,Current,Indian,No,Yes,4522786150.0,1354593.47,0.0,35
40,Yuvaan Sani,139,Bagalkot,9259522710,109707887906,1984-01-28,"33/163
Uppal Chowk",39,KARNATAKA,29,India,400040,2837447081,Rejected,4,Medium,100321,42ac1716-431c-4769-9135-59b834662513,Savings,Indian,Yes,Yes,5937775934.0,6896511.88,59618.38,56
41,Rasha Khurana,140,Bahadurgarh,1117223208,825769526738,1997-12-03,"508
Krishna Zila",40,HARYANA,6,India,400041,7651448680,Pending,1,Low,845811,e1b23f91-dfe6-463b-94e1-2e02d47f857f,Savings,Indian,Yes,No,,1476540.16,39895.2,62
42,Vihaan Lall,141,Baharampur,7477718792,871982128278,1978-01-04,"26/20, Sura Chowk",41,WEST BENGAL,19,India,400042,836522363,Pending,4,Low,410430,a959fb00-85c8-46c8-8755-b269f9407bac,Savings,Indian,Yes,Yes,5278759532.0,2927948.88,42467.09,32
43,Ela Warrior,142,Bahraich,5717539241,792581616762,1968-05-29,"H.No. 27, Vyas Road",42,UTTAR PRADESH,9,India,400043,5065142577,Verified,3,Low,882051,dcc6a903-5000-44d5-b388-9ddf6854c86a,Current,Indian,No,Yes,1929140626.0,5710412.74,0.0,72
44,Badal Keer,143,Baidyabati,1552058179,767655741696,1984-09-10,"66
Chaudhry Ganj",43,WEST BENGAL,19,India,400044,5023474663,Pending,2,Medium,189049,3f44ed64-9a8d-4474-85e5-abec5a1c084f,Savings,Indian,No,No,,6080182.9,0.0,62
45,Misha Seth,144,Baleshwar Town,7535335598,149239677542,1990-10-09,"H.No. 942
Taneja Zila",44,ORISSA,21,India,400045,5570998402,Verified,1,Low,484626,14c91996-0c9f-4aa0-9d9b-7e1ee377dddd,Savings,Indian,Yes,No,,1234152.05,36203.31,35
46,Taran Ramesh,145,Ballia,7708450149,463851948323,1965-02-25,"47/317
Bail Road",45,UTTAR PRADESH,9,India,400046,4650107808,Verified,4,Low,379855,a5a7d99d-ec52-47de-815f-4be36c2eecf9,Current,Indian,Yes,Yes,2075393277.0,4554331.01,46595.63,55
47,Mannat Rattan,146,Bally,1414632586,383516564865,1993-04-15,"65/93
Mand Path",46,WEST BENGAL,19,India,400047,8827124182,Pending,1,Medium,256195,c3889a0e-d32e-4abb-8bdd-3f2766b268c1,Savings,Indian,No,No,,2921598.74,0.0,78
48,Kartik Walia,147,Bally City,7761924919,677920275136,1967-05-10,"H.No. 372
Bedi Ganj",47,WEST BENGAL,19,India,400048,5149480614,Verified,2,High,237652,7c648e4a-9bb9-46f2-90fa-8fb55480397e,Current,Indian,Yes,Yes,4262309419.0,6830562.14,79670.27,51
49,Nayantara Seshadri,148,Balurghat,6072267192,529376724164,1969-02-25,"H.No. 22
Saraf Road",48,WEST BENGAL,19,India,400049,915412079222,Rejected,1,Low,545157,f4cc5185-4e20-4b65-908e-41a07caeb1de,Savings,Indian,Yes,Yes,9265686929.0,4356393.63,20238.07,80
50,Nehmat Kar,149,Banda,1472807859,547095044533,2002-05-07,"27/309
Ravi Path",49,UTTAR PRADESH,9,India,400050,3650750182,Rejected,1,Medium,909425,d1a58a46-94e9-4f4d-99c6-1aaf31ecaf98,Savings,Indian,No,No,,2780096.73,0.0,65
51,Krish Walla,150,Bankura,9636706220,333760790475,1990-09-02,"452
Baria Street",50,WEST BENGAL,19,India,400051,1182845412,Rejected,2,Low,736167,7d785fd6-6f97-40da-aa5d-f5494c107c78,Current,Indian,No,Yes,6960482669.0,2424422.02,0.0,33
52,Ayesha Babu,151,Bansberia,7378758636,826665212480,2003-04-23,"50
Biswas Street",51,WEST BENGAL,19,India,400052,2288823088,Verified,3,High,140648,59736721-25b9-4fb9-bf11-1e9d49b1ea47,Current,Indian,No,Yes,5716523916.0,6379823.83,0.0,75
53,Eshani Golla,152,Banswara,1887552750,901370958058,1975-03-01,"46/45
Sane Nagar",52,RAJASTHAN,8,India,400053,1097055630,Verified,3,Low,833338,ed7cdb74-f15b-4f5b-b8b4-df628b8bbb28,Current,Indian,No,No,,3095881.94,0.0,72
54,Nitya Kaur,153,Baran,7911675374,405946820140,1960-05-18,"94/84
Arya Circle",53,RAJASTHAN,8,India,400054,1579617648,Rejected,4,Medium,790264,733778d0-54c0-4b9e-b056-5e1c623bda56,Current,Indian,No,No,,861660.95,0.0,74
55,Samaira Dhaliwal,154,Baranagar,2910353340,544860386250,1983-01-24,"H.No. 32
Barad Zila",54,WEST BENGAL,19,India,400055,9913756349,Rejected,3,Low,761817,3cfd6a20-e8c5-4640-9dcd-c939ee768bef,Savings,Indian,Yes,No,,197178.53,5690.21,21
56,Purab Seshadri,155,Barasat,1393860672,876349903023,1973-10-17,"777, Yohannan Street",55,WEST BENGAL,19,India,400056,2259141586,Rejected,2,Medium,337330,10e192a0-de81-4b58-a191-f5cb9d81a6f5,Savings,Indian,Yes,Yes,6919799377.0,4332673.6,41701.98,28
57,Raghav Mall,156,Baraut,2738803862,310029523231,1980-02-04,"H.No. 301, Bhardwaj",56,UTTAR PRADESH,9,India,400057,218897340,Rejected,1,High,824684,48700b3b-62a0-4dbd-a6cf-a71512999bea,Current,Indian,No,Yes,7157243277.0,1497591.21,0.0,79
58,Mannat Garde,157,Barddhaman,5542088186,639471289050,1968-07-21,"42/21
Dhar Nagar",57,WEST BENGAL,19,India,400058,911752349492,Pending,3,Medium,852112,963d6cad-9364-4d50-a904-91919c5429b0,Current,Indian,No,Yes,2387274569.0,5766211.7,0.0,65
59,Nirvi Kanda,158,Bareilly,5873632136,152043864939,1991-12-05,"69/43
Chakraborty Nagar",58,UTTAR PRADESH,9,India,400059,2472884490,Rejected,1,High,156597,0220c062-e4fa-4633-a62d-82be02937194,Savings,Indian,Yes,Yes,2440899632.0,7078975.8,34048.49,42
60,Himmat Rege,159,Baripada Town,2589380569,592387823791,1996-11-17,"81, Cherian",59,ORISSA,21,India,400060,3532979078,Rejected,4,Medium,248786,dc52c10d-1993-45e9-afdf-b1ebf877395c,Current,Indian,No,Yes,1321609940.0,6782042.64,0.0,42
61,Misha Sood,160,Barnala,2699082863,782639376246,1999-10-05,"20/059
Char Marg",60,PUNJAB,3,India,400061,9386209622,Rejected,2,Low,368896,1d0b62b9-077c-4365-a033-b93faa1c134c,Current,Indian,Yes,Yes,3889792928.0,9935563.32,35832.86,47
62,Ivana Krish,161,Barrackpur,7297843269,770411254801,1985-12-09,"H.No. 761
Sridhar Circle",61,WEST BENGAL,19,India,400062,912666917154,Pending,1,Medium,243636,eacc722e-1d62-4b1b-ada8-4a6a9903a4f2,Savings,Indian,No,No,,1537884.93,0.0,34
63,Aaryahi Rama,162,Barshi,8343913118,612377936595,1978-06-10,"H.No. 705
Dayal Marg",62,MAHARASHTRA,27,India,400063,5656254348,Verified,4,Low,717159,c7f515ed-8c6f-4919-b438-7490d2114544,Savings,Indian,No,No,,145727.06,0.0,24
64,Siya Bhatt,163,Basirhat,5563561829,856297387961,1996-10-18,"H.No. 489
Sharma Chowk",63,WEST BENGAL,19,India,400064,998359391,Pending,3,High,190433,d8f43470-a76f-4fcd-bdfd-ee681bef3d02,Savings,Indian,No,Yes,1871946949.0,7760065.82,0.0,46
65,Siya Sandhu,164,Basti,5779039831,233386489373,1999-03-05,"871, Varma",64,UTTAR PRADESH,9,India,400065,918421967528,Verified,2,Low,490061,580e4288-04bb-4a4a-8926-7a2fc1a5e65a,Savings,Indian,No,No,,6906204.12,0.0,42
66,Tanya Dada,165,Batala,7546708190,846397017454,1984-06-28,"25/38, Cherian Marg",65,PUNJAB,3,India,400066,911226354766,Pending,2,High,384304,ffad0bfd-29ff-443f-8a2c-d2f3c9d5b21f,Current,Indian,No,Yes,7054585846.0,8757472.88,0.0,44
67,Anaya Thaman,166,Bathinda,3762954547,343387708990,1965-11-17,"H.No. 755, Bhatt Ganj",66,PUNJAB,3,India,400067,7252982131,Rejected,3,High,933449,4f6fc79e-0c21-4dc7-961c-f758edf4c7e8,Current,Indian,No,Yes,5056289655.0,989476.1,0.0,53
68,Shanaya Kant,167,Beawar,5732170847,193410945775,1983-08-27,"94, Kurian Marg",67,RAJASTHAN,8,India,400068,2947823203,Pending,1,High,775437,6aa6e1d8-1892-49a4-b441-2ba48def4e0d,Current,Indian,No,No,,4894399.07,0.0,66
69,Vedika Bahri,168,Begusarai,5159872422,965514827361,1999-08-11,"H.No. 98
Saxena Marg",68,BIHAR,10,India,400069,1217945785,Pending,2,Low,845419,2a5a3aad-04ff-4615-a1ea-477eff774014,Savings,Indian,No,No,,105506.77,0.0,18
70,Vedika Viswanathan,169,Belgaum,7162327918,552304673782,1992-12-18,"85/601, Trivedi",69,KARNATAKA,29,India,400070,910586815444,Verified,1,Low,737893,3b9e6377-d5ca-455e-9835-e186b9976ba9,Current,Indian,Yes,Yes,3234593209.0,9851526.93,32809.06,50
71,Aarav Mani,170,Bellary,2605429567,281647359244,1970-01-24,"96/01
Barad Marg",70,KARNATAKA,29,India,400071,5357288449,Verified,1,High,432357,4d288aa8-5390-4f85-b0aa-3586b56329a7,Savings,Indian,Yes,Yes,6486354631.0,5580542.5,35694.31,38
72,Vedika Saini,171,Bengaluru,3007124342,639249123051,1991-03-22,"H.No. 13
Dass Path",71,KARNATAKA,29,India,400072,916242352430,Rejected,3,Low,302460,a957781e-d7ee-4e31-8756-1c4c5db4de1a,Savings,Indian,No,Yes,6552868532.0,6578972.21,0.0,44
73,Divyansh Kata,172,Bettiah,3874221610,664083734005,1987-11-21,"03, Kurian Road",72,BIHAR,10,India,400073,910245904565,Pending,1,High,954513,ce39bf0f-1ae7-44fa-81be-c47af2686c9c,Savings,Indian,Yes,No,,9096925.0,37730.53,44
74,Navya Deep,173,Betul,2733654586,739382597474,1986-01-09,"H.No. 57, Sinha Nagar",73,MADHYA PRADESH,23,India,400074,6754066703,Rejected,2,Low,117141,7e413833-aef8-4a3e-8bea-fa91fb11d773,Current,Indian,No,No,,6532722.59,0.0,50
75,Renee Dayal,174,Bhadrak,7230107719,743009806913,1994-08-20,"H.No. 355, Ghosh Marg",74,ORISSA,21,India,400075,916132124886,Pending,4,Medium,738208,232ff99c-c0be-412c-ad2c-6af855f9ad1c,Savings,Indian,No,Yes,3572430601.0,4127548.55,0.0,70
76,Hunar Kalla,175,Bhadravati,5512722369,330254871408,1990-07-28,"463, Dalal",75,KARNATAKA,29,India,400076,3771480777,Pending,4,Medium,561441,7575ae68-569e-4e55-8232-c5bb2e5cfb90,Savings,Indian,Yes,Yes,7807630402.0,3488706.73,47615.25,28
77,Badal Khare,176,Bhadreswar,3028065185,535103580454,1967-05-18,"42/88
Thaker Circle",76,WEST BENGAL,19,India,400077,9119472985,Verified,4,Medium,756106,4846e465-2d8c-4863-a2e9-399cc3b566d2,Savings,Indian,No,Yes,8528378176.0,702134.92,0.0,51
78,Madhup Sachdev,177,Bhagalpur,3965097867,226469771302,1962-08-23,"59/52
Sandhu Chowk",77,BIHAR,10,India,400078,4212845804,Verified,3,Low,786671,cb8204c9-0aa7-4797-92b1-27af43df5d97,Savings,Indian,Yes,Yes,3253934139.0,2573872.88,36232.1,30
79,Kismat Bahl,178,Bhalswa Jahangir Pur,1939194304,160641659956,1966-09-07,"H.No. 268
Ramanathan Ganj",78,NCT OF DELHI,7,India,400079,4710404676,Pending,2,High,983213,544889d3-04b5-424d-874d-9da6dc203822,Savings,Indian,No,Yes,1622569014.0,9793293.55,0.0,48
80,Ivan Ravel,179,Bharatpur,5001010523,395572078796,2000-01-28,"13/59
Majumdar Ganj",79,RAJASTHAN,8,India,400080,912172480745,Rejected,3,High,867033,60a5008e-6543-43b0-aebe-ba3b76e923bf,Savings,Indian,Yes,Yes,5752920454.0,2948591.13,25496.81,51
81,Kaira Deshmukh,180,Bharuch,3091623345,124555607168,2001-02-21,"H.No. 327, Anand",80,GUJARAT,24,India,400081,911233716781,Verified,2,Low,919121,4d3b99a1-83b4-4998-a66c-56b4570559d9,Savings,Indian,Yes,Yes,8610968378.0,4233513.72,48990.74,75
82,Veer Bajaj,181,Bhatpara,9556357710,287320810393,1993-05-28,"87/53, Loyal Nagar",81,WEST BENGAL,19,India,400082,6149193529,Rejected,3,Low,905117,d40b3b1f-e739-4f7b-9afa-1e8fe3291b87,Savings,Indian,Yes,No,,6664042.33,19241.4,36
83,Anya Choudhury,182,Bhavnagar,4729711759,926236443271,1979-03-04,"54/906
Jha Road",82,GUJARAT,24,India,400083,914471303432,Rejected,2,High,791264,9ca3b087-e37d-4216-9924-2cb9220d1454,Savings,Indian,No,Yes,8868888929.0,5824191.57,0.0,77
84,Azad Bora,183,Bhilai Nagar,6786375893,390491217219,1959-08-26,"96/94, Sem Road",83,CHHATTISGARH,22,India,400084,918477974329,Rejected,3,High,433508,7c86ab2f-5dc3-4f16-a4db-d1110c211b39,Savings,Indian,Yes,No,,6233962.6,96684.73,65
85,Rania Kashyap,184,Bhilwara,8359531793,372412140415,1996-07-26,"H.No. 90, Gokhale Circle",84,RAJASTHAN,8,India,400085,9587035542,Rejected,4,Medium,508738,fef3fa5a-4c72-4f86-b7b7-55b48e612150,Savings,Indian,Yes,No,,3874986.36,37237.71,34
86,Romil Chowdhury,185,Bhimavaram,2483998151,551811348552,1963-02-02,"H.No. 298
Varma Marg",85,ANDHRA PRADESH,28,India,400086,2123552517,Rejected,3,Low,590956,ceb49b81-7e7c-45fd-895b-ed1f368fcfd0,Current,Indian,Yes,Yes,4501379136.0,5371391.32,30514.29,47
87,Nayantara Rout,186,Bhind,2555181933,955050222859,1979-02-05,"400, Seth Ganj",86,MADHYA PRADESH,23,India,400087,3466351111,Pending,2,Medium,331669,dde884a3-d974-4f80-a0f0-d1284dc90a6a,Current,Indian,Yes,Yes,9011698701.0,929435.47,33549.67,65
88,Eshani Jha,187,Bhiwadi,8321622587,914861758604,1977-09-30,"626, Lanka Marg",87,RAJASTHAN,8,India,400088,4544691906,Verified,3,Medium,336327,60e8fc84-590e-4627-8718-40764b76c38f,Savings,Indian,No,No,,7999596.94,0.0,48
89,Hridaan Acharya,188,Bhiwandi,1615504451,140962137145,1958-04-15,"05/96, Rana Path",88,MAHARASHTRA,27,India,400089,917316233100,Verified,4,Medium,756068,88dcd5bd-0801-4510-9f9d-201c63ddf32f,Savings,Indian,Yes,Yes,7284281125.0,6109073.78,39342.11,38
90,Tiya Sachdev,189,Bhiwani,3223493209,601406000670,1983-06-13,"07, Chopra Zila",89,HARYANA,6,India,400090,2207311715,Verified,4,High,718029,e640b996-26f4-4314-a897-6f4a7c37bf76,Current,Indian,No,No,,4760514.02,0.0,35
91,Dharmajan Divan,190,Bhopal,9196037768,771790931966,1959-11-16,"31/43
Kapur Chowk",90,MADHYA PRADESH,23,India,400091,916604776485,Verified,2,High,877295,3483a103-31f2-420c-b313-98f97ef0a06c,Savings,Indian,Yes,Yes,8348306019.0,8404894.65,24620.85,39
92,Pari Maharaj,191,Bhubaneswar Town,2653218045,107216211654,1976-02-19,"74/650
Lal Ganj",91,ORISSA,21,India,400092,8786346409,Verified,3,High,650553,26ce51d3-72bc-476f-bc08-ee6cc3cbad05,Savings,Indian,Yes,No,,3111584.64,46882.84,58
93,Mannat Chauhan,192,Bhuj,1980469481,336512144673,1998-09-07,"54/03, Raj Marg",92,GUJARAT,24,India,400093,915535159212,Verified,3,High,937551,088918d0-1523-4f0a-a94a-5f745dd74a74,Savings,Indian,Yes,No,,4745315.55,55769.06,65
94,Aarav Wason,193,Bhusawal,2450663722,430002363541,1991-09-27,"17/640
Cheema Path",93,MAHARASHTRA,27,India,400094,913987821760,Verified,3,High,512912,e7fd6a22-c197-457d-9eb4-f4d6ff48aaab,Current,Indian,No,No,,2634960.29,0.0,61
95,Advik Dara,194,Bid,3174329262,297306719758,1984-09-26,"H.No. 996, Balay Marg",94,MAHARASHTRA,27,India,400095,1206954835,Verified,2,Medium,287400,802bbd1f-ce48-49a7-909b-dc3af590f596,Savings,Indian,Yes,Yes,8228807012.0,1037723.09,98366.61,51
